"sample_id","patient_id","group","FOLH1_log2_FPKM"
"TP_2032-Tumor","5115078","Negative",9.57169515010748
"SC_9030-Tumor","97115005","Negative",9.07440520960145
"MO_1161-TM","5115259","Positive",8.56309125774083
"SC_9032-Tumor","9115063","Negative",9.16535380840178
"SC_9034-Tumor","9115066","Positive",7.44521241822213
"SC_9036-Tumor","9115067","Negative",9.21691712308729
"SC_9037-Tumor","9115069","Positive",3.39560283673371
"SC_9018-Tumor","9115052","Positive",7.57266198651011
"SC_9043-Tumor","9115102","Positive",7.6040492426133
"MO_1179-Tumor","5115129","Positive",4.63369663252571
"MO_1184-Tumor","5115130","Negative",7.415836847843
"SC_9046-Tumor","97115007","Positive",7.72198075468794
"SC_9047-Tumor","97115009","Negative",8.77222398764637
"SC_9048-Tumor","97115071","Negative",8.80342048288893
"SC_9049-Tumor","97115074","Positive",8.45126611085311
"SC_9054-Tumor","9115107","Negative",8.31980274689232
"MO_1176-Tumor","5115186","Positive",7.4078167558838
"MO_1192-Tumor","5115128","Positive",5.98670503984369
"SC_9050-Tumor","9115104","Positive",8.86159534808771
"SC_9038-Tumor","9115068","Negative",6.83950236105281
"SC_9055-Tumor","9115109","Positive",8.85725594483343
"MO_1215-Tumor","5115158","Positive",1.72531416987313
"MO_1219-Tumor","5115203","Negative",6.28109243355299
"MO_1221-Tumor","5115194","Negative",9.15521399909264
"MO_1232-Tumor","5115195","Negative",8.10483395893741
"SC_9057-Tumor","97115125","Positive",9.09706327340201
"SC_9058-Tumor","97115079","Negative",8.44025496277104
"SC_9059-Tumor","97115131","Positive",7.34889151116621
"SC_9060-Tumor","97115095","Positive",6.85103231238267
"MO_1241-Tumor","5115160","Positive",3.52755382639221
"MO_1244-Tumor","5115196","Positive",5.14753523467373
"MO_1249-Tumor","5115197","Positive",8.51454426842684
"MO_1262-Tumor","5115187","Positive",9.24298020104069
"SC_9061-Tumor","97115147","Positive",7.31662124993542
"SC_9062-Tumor","97115148","Negative",5.96879987368763
"SC_9063-Tumor","97115151","Positive",9.03495262685843
"MO_1202-Tumor","5115193","Positive",5.53967987677579
"MO_1277-TM","5115261","Positive",1.66435825622083
"SC_9016_T","9115050","Positive",6.48388925177108
"SC_9068-Tumor","9115175","Positive",7.69698786357173
"SC_9071-TM","97115166","Positive",4.72534044492755
"SC_9072-TM","97115167","Positive",8.63990675165005
"SC_9073-TM","9115185","Negative",5.93139530240854
"TP_2054-TM","5115254","Positive",8.65708145615591
"MO_1316-TM","5115256","Positive",8.15259907118096
"SC_9080-TM","9115111","Negative",10.5195891826755
"SC_9081-TM","9115181","Negative",8.34136340943265
"SC_9065-TM-Tumor2","9115174","Positive",7.48310000203649
"SC_9083-TM","9115338","Negative",1.95938928945336
"SC_9031-TM","97115006","Negative",1.38721390470692
"MO_1336-TM","5115260","Negative",9.53416578352817
"MO_1337-TM","5115255","Positive",5.40393795824215
"MO_1339-TM","5115290","Negative",8.60721395274275
"SC_9086-TM","9115341","Positive",8.44465226822689
"SC_9091-TM","13115262","Negative",7.25025252099611
"TP_2060-TM","5115276","Negative",5.99880311408065
"TP_2061-TM","5115291","Negative",4.62779089198183
"TP_2064-TM","5115327","Negative",8.11287639711185
"SC_9092-TM","9115339","Positive",6.01685712392529
"SC_9093-TM","13115277","Negative",8.64121618333547
"SC_9097-TM","97115281","Positive",7.80096708136469
"SC_9094-Tumor","97115278","Negative",7.28874748829379
"SC_9099-Tumor","97115315","Positive",9.32765420870698
"SC_9100-Tumor","97115316","Negative",1.19672025092912
"SC_9035_T","9115065","Positive",6.25966521201311
"SC_9103-Tumor","97115330","Negative",1.84906893831973
"SC_9104-Tumor","97115331","Positive",7.63634138373104
"SC_9107-Tumor","97115335","Positive",5.95908728316499
"SC_9109-Tumor","97115337","Positive",9.66851074033695
"MO_1410-Tumor","5115359","Positive",6.75204248671139
"SC_9105_Tumor","97115333","Positive",6.1338915065699
"SC_9118_Tumor","97115358","Positive",3.34576298058326
"MO_1420_Tumor","5115406","Negative",8.37676933538637
"MO_1421_Tumor","5115407","Negative",4.2054938976991
"TP_2069_Tumor","5115405","Positive",7.9278346082281
"SC_9123_Tumor","9115418","Negative",6.93883847677361
"SC_9124_Tumor","97115363","Positive",9.01902778623542
"SC_9126_Tumor","97115365","Negative",0.762951169534577
"SC_9129_Tumor","97115368","Positive",8.85597086206946
"SC_9132_Tumor","9115420","Positive",7.76876929577285
"MO_1447_Tumor","5115408","Positive",9.0935742142089
"MO_1446_T","5115546","Positive",1.68196724084682
"MO_1460_Tumor","5115501","Negative",2.15834714247933
"DFCI.11-104.13-Tumor","1115020","Positive",6.1268441796601
"PRAD-DFCI.11-104.15-Tumor-SM-3S2HH","1115021","Negative",9.14343012824109
"PROS10448-1115150-Tumor-SM-5EEBK","1115150","Negative",0.939384392786105
"PROS10448-1115153-Tumor-SM-5EEBL","1115153","Positive",5.0805701333539
"PROS10448-1115154-Tumor-SM-5EEBM","1115154","Positive",7.56475164698317
"PROS10448-1115156-Tumor-SM-5EEBN","1115156","Positive",9.87528531713228
"PROS10448-1115157-Tumor-SM-5EEBO","1115157","Positive",9.67538851496654
"PROS01448-1115161-Tumor-SM-5SGU1","1115161","Negative",8.16897471994463
"PROS01448-1115183-Tumor-SM-5SGU3","1115183","Positive",8.40953293616797
"PROS10448-01115200-Tumor-SM-7LYLF","1115200","Negative",1.18024647739031
"PROS01448-1115202-Tumor-SM-5SGU5","1115202","Negative",8.44972145577341
"PROS01448-1115244-Tumor-SM-5SGU6","1115244","Positive",9.31370469489886
"PRAD-01115362-Tumor-SM-7A15P","1115362","Negative",9.184164993243
"PRAD-01115444-Tumor-SM-6B2K9","1115444","Negative",5.89269967182945
"PRAD-01115467-Tumor-SM-6B2KD","1115467","Positive",4.45355274340857
"PRAD-01115468-Tumor-SM-6B2KE","1115468","Negative",8.27671875416402
"PROS10448-01115374-Tumor-SM-7LYLG","1115503","Negative",8.52853538114285
"PRAD-01115525-Tumor-SM-A4KNC","1115525","Positive",6.20414163353154
"PRAD-01115526-Tumor-SM-A4KND","1115526","Negative",2.19410504470646
"PRAD-01115527-Tumor-SM-A4KNE","1115527","Negative",6.68743381561481
"PRAD-01115531-Tumor-SM-A4KNG","1115531","Negative",7.70888701000847
"PRAD-01115528-Tumor-SM-A4KNF","1115544","Negative",8.11037754536563
"PRAD-01115549-Tumor-SM-A4KNH","1115549","Positive",9.9114638238785
"PRAD-01115550-Tumor-SM-A4KNI","1115550","Negative",7.76655607275033
"PRAD-01115554-Tumor-SM-A56E4","1115554","Negative",6.21736739753846
"PRAD-01115556-Tumor-SM-A56E5","1115556","Positive",7.07964823698198
"PRAD-01115569-Tumor-SM-A56E6","1115569","Positive",9.93194265986854
"PRAD-01115574-Tumor-SM-A56E7","1115574","Positive",8.61524629884384
"PRAD-01115576-Tumor-SM-A56E8","1115576","Positive",1.0769192266234
"PRAD-01115577-Tumor-SM-A56E9","1115577","Negative",4.20545500548165
"PRAD-01115578-Tumor-SM-A56EA","1115578","Positive",5.05291239074056
"PRAD-01115581-Tumor-SM-A56EB","1115581","Negative",6.38704354660698
"PROS12319B-SU2C-06115114-Tumor-SM-4W2N9","6115114","Positive",9.59096041298997
"PROS12319B-SU2C-06115115-Tumor-SM-4W2NA","6115115","Positive",6.18101805816481
"PROS12319B-SU2C-06115116-Tumor-SM-4W2NB","6115116","Negative",2.34392144059276
"PROS12319B-SU2C-06115117-Tumor-SM-4W2NC","6115117","Positive",5.79629668437176
"PROS12319B-SU2C-06115118-Tumor-SM-4W2ND","6115118","Positive",5.86230022874086
"PROS12319B-SU2C-06115119-Tumor-SM-4W2NE","6115119","Negative",4.06952773019927
"PROS12319B-SU2C-06115121-Tumor-SM-4W2NG","6115121","Positive",9.06236148097872
"PROS12319B-SU2C-06115122-Tumor-SM-4W2NH","6115122","Positive",8.37264070206611
"PROS12319B-SU2C-06115123-Tumor-SM-4W2NI","6115123","Negative",9.27943401315933
"PRAD-06115124-Tumor-SM-7LGU1","6115124","Positive",4.96108911275956
"PROS01448-6115219-Tumor-SM-67ERS","6115219","Positive",9.21532340449184
"PROS01448-6115224-Tumor-SM-67ERT","6115224","Positive",10.3233471180381
"PROS01448-6115227-Tumor-SM-67ERU","6115227","Negative",9.70507552609229
"PROS01448-6115233-Tumor-SM-67ERW","6115233","Negative",7.96237921228105
"PROS01448-6115234-Tumor-SM-67ERX","6115234","Positive",8.94503461862008
"PROS01448-6115235-Tumor-SM-67ERY","6115235","Negative",1.83144925977855
"PROS01448-6115237-Tumor-SM-67ERZ","6115237","Negative",0.970980813471444
"PROS01448-6115242-Tumor-SM-67ES1","6115242","Negative",5.87082382725592
"PROS01448-6115247-Tumor-SM-67ES2","6115247","Positive",6.7121496975306
"PRAD-6115250.0-Tumor-SM-B2XRX","6115250","Negative",9.11520029570307
"PROS01448-6115250-Tumor-SM-67ES5","6115250","Negative",9.53771317387266
"PROS01448-6115251-Tumor-SM-67ES6","6115251","Negative",9.43355155066715
"PRAD-6115296.0-Tumor-SM-B2XS2","6115296","Negative",3.47364800494988
"PRAD-6115381.0-Tumor-SM-7LGU3","6115381","Negative",1.86724302142529
"PRAD-6115382.0-Tumor-SM-7LGU5","6115382","Negative",4.48291604104368
"PRAD-6115385.0-Tumor-SM-7LGU7","6115385","Negative",8.62072015263913
"PRAD-6115388.0-Tumor-SM-7LGUA","6115388","Positive",0.494383871269519
"PRAD-6115390.0-Tumor-SM-7LGUC","6115390","Negative",1.7415209817717
"PRAD-6115391.0-Tumor-SM-7LGUD","6115391","Positive",9.15784320253183
"PRAD-6115392.0-Tumor-SM-B2XRZ","6115392","Negative",3.30186587350694
"PRAD-6115393.0-Tumor-SM-7LGUF","6115393","Positive",6.08693564272451
"PRAD-6115395.0-Tumor-SM-7LGUH","6115395","Positive",8.33943676965263
"PRAD-6115396.0-Tumor-SM-7LGUI","6115396","Negative",9.77941991298403
"PRAD-6115397.0-Tumor-SM-7LGUJ","6115397","Negative",8.56754201802951
"PRAD-6115398.0-Tumor-SM-7LGUK","6115398","Positive",7.13935972828487
"PRAD-6115399.0-Tumor-SM-7LGUL","6115399","Negative",5.30551528690638
"PRAD-6115400.0-Tumor-SM-7LGUM","6115400","Positive",8.05885115164521
"PRAD-6115400.0-Tumor-SM-7LGUN","6115400","Positive",8.06572868591035
"PRAD-6115402.0-Tumor-SM-7LGUP","6115402","Positive",2.6339143179049
"PRAD-6115427.0-Tumor-SM-B2XRT","6115427","Negative",7.02238034666462
"PRAD-6115590.0-Tumor-SM-B2XRS","6115590","Negative",7.74780288943224
"PRAD-6115592.0-Tumor-SM-B2XRU","6115592","Negative",5.08012436363073
"PRAD-6115593.0-Tumor-SM-B2XRV","6115593","Negative",1.78984199958559
"PRAD-6115594.0-Tumor-SM-B2XRW","6115594","Positive",9.24983854681351
"PRAD-6115595.0-Tumor-SM-B2XRY","6115595","Negative",8.87050984648
"PRAD-6115596.0-Tumor-SM-B2XS1","6115596","Positive",8.94998371732479
"PRAD-6115597.0-Tumor-SM-B2XS5","6115597","Positive",6.50056306156688
"PRAD-6115598.0-Tumor-SM-B2XS3","6115598","Positive",9.69598472440168
"PRAD-6115599.0-Tumor-SM-B2XS4","6115599","Negative",5.93857439495649
"PRAD-6115600.0-Tumor-SM-B2XS6","6115600","Positive",7.77423400153621
"PRAD-6115601.0-Tumor-SM-B2XS7","6115601","Positive",9.92901428442651
"PRAD-6115603.0-Tumor-SM-B2XS8","6115603","Negative",10.612394037015
"PRAD-6115604.0-Tumor-SM-B2XS9","6115604","Negative",7.49742555038074
"PRAD-6115605.0-Tumor-SM-B2XSA","6115605","Negative",8.53853996816144
"PM14-TM","96115135","Positive",4.33922988693279
"PM2-TM","96115137","Negative",7.06418489672307
"WCM91_Z1","96115138","Negative",6.83396309652274
"PM90-TM","96115139","Negative",1.83350609420265
"PM119-TM","96115141","Negative",5.46479928886502
"PM155-TM","96115165","Negative",3.06359468340409
"PM139-TM","96115204","Negative",7.80030525958402
"PM158-TM","96115207","Negative",5.12878476378402
"PM159-TM","96115208","Negative",6.99978400223983
"PM161-TM","96115209","Positive",5.84484890454085
"PM163-TM","96115210","Negative",6.1357182345305
"PM170-TM","96115211","Negative",1.71205086968617
"PM172-TM","96115213","Negative",7.4038601275137
"PM189-TM","96115214","Negative",6.52246859874773
"WCM4_X1","96115266","Negative",7.40247431767389
"WCM218_Z3","96115269","Positive",5.51356824446511
"WCM210_Z2","96115272","Negative",0.266797245227556
"WCM209_Z2","96115273","Negative",5.90534076004888
"WCM335_X1","96115473","Positive",3.33472942548356
"WCM258_Z2","96115474","Positive",5.54313965245801
"WCM252_Z3","96115480","Negative",0.829440870665918
"WCM89_X1","96115494","Positive",8.73640103153634
"WCM393_Z3","96115496","Negative",7.75747977671004
"WCM573_X1","96115619","Negative",0.528476754987785
"WCM665_X1","96115641","Negative",3.1286273907968
"WCM666_X1","96115642","Negative",1.74402549825852
